City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
388,Pochutla,MX,78.01,few clouds,15.74,-96.47,Hotel Posada San Jose
389,Port Lincoln,AU,68.94,clear sky,-34.73,135.87,Port Lincoln Hotel
390,The Valley,AI,80.6,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
392,Yarada,IN,84.2,haze,17.65,83.27,"D-26/2, Dolphin Hill,"
395,Tsogni,GA,74.17,overcast clouds,-2.79,10.1,
396,Ngunguru,NZ,65.32,clear sky,-35.62,174.5,Pacific Rendezvous Motel Resort
398,Nhulunbuy,AU,89.6,scattered clouds,-12.23,136.77,East Arnhem Real Estate
399,Cururupu,BR,76.39,broken clouds,-1.83,-44.87,Pousada Través'cia
400,Lantana,US,79.0,few clouds,26.59,-80.05,Eau Palm Beach Resort & Spa
404,Lakes Entrance,AU,66.99,scattered clouds,-37.88,147.98,The Esplanade Resort & Spa
406,Namibe,AO,69.78,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
408,Osmena,PH,83.5,light rain,10.52,119.93,Arjemarkyza Lodge
411,Vila Velha,BR,75.2,overcast clouds,-20.33,-40.29,Hotel Vitória Palace
413,Kalas,IN,78.26,clear sky,18.17,74.8,Hotel Durvankur
415,Pompeia,BR,72.75,scattered clouds,-22.11,-50.17,Hotel Pousada Vale do Sol
416,Puri,IN,78.8,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
419,Mapastepec,MX,75.97,clear sky,15.43,-92.9,Hotel San Carlos
421,Grand-Santi,GF,73.76,overcast clouds,4.25,-54.38,Hotel La Villa Couacou
423,Gusau,NG,71.62,scattered clouds,12.16,6.66,Dr. Salisu Ibrahim
424,Mattru,SL,72.79,clear sky,7.62,-11.83,"Mondkor Town, Bagbo Chiefdom, Bo District"
425,Vilhena,BR,69.1,scattered clouds,-12.74,-60.15,Hotel Mirage
426,Ha Giang,VN,81.36,clear sky,22.83,104.98,Truong Xuan Ecolodge
430,Cairns,AU,89.01,few clouds,-16.92,145.77,Mantra Trilogy Cairns
432,Kulhudhuffushi,MV,82.96,heavy intensity rain,6.62,73.07,Haajy Guest House 1
433,Sembe,CG,70.72,light rain,1.65,14.58,
434,Galveston,US,75.2,overcast clouds,29.37,-94.97,Comfort Inn & Suites Texas City
436,Itaituba,BR,81.75,broken clouds,-4.28,-55.98,Hotel Campos
437,Tautira,PF,82.4,few clouds,-17.73,-149.15,Pension Oaoa
439,Tambura,SS,72.07,broken clouds,5.6,27.47,Guest hous Tambura
440,Veraval,IN,81.99,clear sky,20.9,70.37,Lords Inn Somnath
441,San Rafael Del Sur,NI,78.8,smoke,11.85,-86.44,Hospedaje El Chino
445,Bundaberg,AU,86.0,clear sky,-24.85,152.35,Takalvan Motel
446,Bongor,TD,74.32,clear sky,10.28,15.37,Complexe le Confort
449,Moree,AU,93.2,clear sky,-29.47,149.85,Molika Springs Motel
453,Mareeba,AU,93.0,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
460,Majene,ID,85.69,light rain,-3.54,118.97,Kost Putri RABBANI
461,Mirante Do Paranapanema,BR,77.0,clear sky,-22.29,-51.91,Estância das Flores
462,Kendari,ID,87.51,light rain,-3.94,122.5,Hotel Wixel
465,Bilma,NE,67.44,clear sky,18.69,12.92,Expeditions Ténére voyages
467,Baracoa,CU,79.14,broken clouds,20.35,-74.5,Hostal Rio Miel
